epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,430.099,0.71219,0.68369,0.85822,1,0.89479,0.96791,0.86914,0.50416,0.76972,0.82398,0.00191486,0.00191486,0.00191486
45,438.833,0.6905,0.66798,0.85334,1,0.89479,0.96791,0.86914,0.50416,0.76972,0.82398,0.00191288,0.00191288,0.00191288
46,448.403,0.62661,0.57902,0.84002,1,0.89479,0.96791,0.86914,0.50416,0.76972,0.82398,0.0019109,0.0019109,0.0019109
47,460.377,0.64242,0.60098,0.8362,1,0.89338,0.94399,0.85964,0.52396,0.78124,0.84199,0.00190892,0.00190892,0.00190892
48,469.64,0.68035,0.64502,0.86111,1,0.89338,0.94399,0.85964,0.52396,0.78124,0.84199,0.00190694,0.00190694,0.00190694
49,478.281,0.63101,0.62762,0.84975,0.96382,0.70833,0.81649,0.7394,0.62799,1.07445,0.90777,0.00190496,0.00190496,0.00190496
50,487.103,0.64624,0.61824,0.86576,0.96382,0.70833,0.81649,0.7394,0.62799,1.07445,0.90777,0.00190298,0.00190298,0.00190298
51,495.938,0.64272,0.59802,0.85766,0.96382,0.70833,0.81649,0.7394,0.62799,1.07445,0.90777,0.001901,0.001901,0.001901
52,506.035,0.63613,0.63443,0.86356,0.95246,0.54167,0.64053,0.56842,0.72648,1.30757,0.95828,0.00189902,0.00189902,0.00189902
53,516.573,0.69047,0.66893,0.87108,0.95246,0.54167,0.64053,0.56842,0.72648,1.30757,0.95828,0.00189704,0.00189704,0.00189704
54,527.372,0.67146,0.58906,0.85097,0.95246,0.54167,0.64053,0.56842,0.72648,1.30757,0.95828,0.00189506,0.00189506,0.00189506
55,538.519,0.59086,0.58783,0.83601,1,0.49556,0.54711,0.49213,0.8636,1.38634,1.07259,0.00189308,0.00189308,0.00189308
56,549.688,0.60997,0.62412,0.82993,1,0.49556,0.54711,0.49213,0.8636,1.38634,1.07259,0.0018911,0.0018911,0.0018911
57,561.379,0.66068,0.58584,0.86783,0.99429,0.5,0.51465,0.46765,0.91196,1.49031,1.09272,0.00188912,0.00188912,0.00188912
58,571.889,0.70226,0.68666,0.87464,0.99429,0.5,0.51465,0.46765,0.91196,1.49031,1.09272,0.00188714,0.00188714,0.00188714
59,583.455,0.63594,0.60416,0.83915,0.99429,0.5,0.51465,0.46765,0.91196,1.49031,1.09272,0.00188516,0.00188516,0.00188516
60,597.31,0.62689,0.60811,0.86338,0.95607,0.5,0.51472,0.46819,0.81976,1.52702,1.0428,0.00188318,0.00188318,0.00188318
61,607.146,0.67103,0.63776,0.84769,0.95607,0.5,0.51472,0.46819,0.81976,1.52702,1.0428,0.0018812,0.0018812,0.0018812
62,616.688,0.62765,0.58386,0.84968,0.95607,0.5,0.51472,0.46819,0.81976,1.52702,1.0428,0.00187922,0.00187922,0.00187922
63,626.332,0.6924,0.64002,0.83156,0.98827,0.47917,0.49975,0.46605,0.9288,1.72458,1.13366,0.00187724,0.00187724,0.00187724
64,636.971,0.67576,0.63148,0.858,0.98827,0.47917,0.49975,0.46605,0.9288,1.72458,1.13366,0.00187526,0.00187526,0.00187526
65,646.998,0.68693,0.62655,0.8406,0.99827,0.47917,0.50987,0.472,0.85343,1.53573,1.06266,0.00187328,0.00187328,0.00187328
66,657.315,0.61888,0.59862,0.83815,0.99827,0.47917,0.50987,0.472,0.85343,1.53573,1.06266,0.0018713,0.0018713,0.0018713
67,668.396,0.66535,0.61537,0.87489,0.99827,0.47917,0.50987,0.472,0.85343,1.53573,1.06266,0.00186932,0.00186932,0.00186932
68,678.823,0.62447,0.59549,0.84241,0.95986,0.49831,0.51782,0.4877,0.67737,1.61758,0.99919,0.00186734,0.00186734,0.00186734
69,688.651,0.61011,0.56908,0.85186,0.95986,0.49831,0.51782,0.4877,0.67737,1.61758,0.99919,0.00186536,0.00186536,0.00186536
70,698.533,0.62913,1.07826,0.84082,0.95986,0.49831,0.51782,0.4877,0.67737,1.61758,0.99919,0.00186338,0.00186338,0.00186338
71,709.884,0.62391,0.59445,0.83688,0.92267,0.49725,0.46712,0.43414,1.05703,1.67625,1.19851,0.0018614,0.0018614,0.0018614
72,720.213,0.66151,0.60252,0.85289,0.92267,0.49725,0.46712,0.43414,1.05703,1.67625,1.19851,0.00185942,0.00185942,0.00185942
73,731.064,0.71822,0.63008,0.86473,0.92285,0.49847,0.46712,0.42817,0.92704,1.62155,1.11924,0.00185744,0.00185744,0.00185744
74,741.249,0.59763,0.60956,0.83317,0.92285,0.49847,0.46712,0.42817,0.92704,1.62155,1.11924,0.00185546,0.00185546,0.00185546
75,751.632,0.64325,0.64485,0.84383,0.92285,0.49847,0.46712,0.42817,0.92704,1.62155,1.11924,0.00185348,0.00185348,0.00185348
76,761.436,0.61772,0.5867,0.85148,0.95782,0.5,0.55646,0.49732,0.67247,1.53653,0.96453,0.0018515,0.0018515,0.0018515
77,771.076,0.64629,0.59996,0.84659,0.95782,0.5,0.55646,0.49732,0.67247,1.53653,0.96453,0.00184952,0.00184952,0.00184952
78,780.547,0.62462,0.598,0.84291,0.95782,0.5,0.55646,0.49732,0.67247,1.53653,0.96453,0.00184754,0.00184754,0.00184754
79,791.771,0.60292,0.54911,0.83513,0.88403,0.63536,0.74155,0.68038,0.51079,1.21769,0.88604,0.00184556,0.00184556,0.00184556
80,801.99,0.63826,0.532,0.85085,0.88403,0.63536,0.74155,0.68038,0.51079,1.21769,0.88604,0.00184358,0.00184358,0.00184358
81,812.707,0.60556,0.5527,0.84364,0.91253,0.77083,0.86325,0.78343,0.4345,0.9881,0.84037,0.0018416,0.0018416,0.0018416
82,822.783,0.58753,0.5081,0.83524,0.91253,0.77083,0.86325,0.78343,0.4345,0.9881,0.84037,0.00183962,0.00183962,0.00183962
83,832.946,0.62199,0.52782,0.8514,0.91253,0.77083,0.86325,0.78343,0.4345,0.9881,0.84037,0.00183764,0.00183764,0.00183764
84,843.266,0.60027,0.55497,0.84054,0.95287,0.8426,0.90615,0.82038,0.44179,0.88007,0.82756,0.00183566,0.00183566,0.00183566
85,853.594,0.60511,0.51914,0.83442,0.95287,0.8426,0.90615,0.82038,0.44179,0.88007,0.82756,0.00183368,0.00183368,0.00183368
86,863.634,0.61387,0.52232,0.82644,0.95287,0.8426,0.90615,0.82038,0.44179,0.88007,0.82756,0.0018317,0.0018317,0.0018317
87,874.062,0.65085,0.59987,0.81645,0.97414,0.78498,0.92761,0.85375,0.43925,0.94109,0.82678,0.00182972,0.00182972,0.00182972
88,884.083,0.63175,0.51301,0.82358,0.97414,0.78498,0.92761,0.85375,0.43925,0.94109,0.82678,0.00182774,0.00182774,0.00182774
89,894.408,0.75012,0.6109,0.84354,0.92778,0.8125,0.93124,0.85119,0.43177,0.97071,0.82176,0.00182576,0.00182576,0.00182576
90,905.974,0.60254,0.49707,0.83294,0.92778,0.8125,0.93124,0.85119,0.43177,0.97071,0.82176,0.00182378,0.00182378,0.00182378
91,917.175,0.66394,0.59725,0.84007,0.92778,0.8125,0.93124,0.85119,0.43177,0.97071,0.82176,0.0018218,0.0018218,0.0018218
92,927.378,0.6372,0.53042,0.84216,0.91221,0.79167,0.9456,0.8491,0.48129,0.93098,0.82746,0.00181982,0.00181982,0.00181982
93,938.034,0.5773,0.51037,0.82948,0.91221,0.79167,0.9456,0.8491,0.48129,0.93098,0.82746,0.00181784,0.00181784,0.00181784
