epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,372.185,0.73662,0.98087,1.03302,1,0.94467,0.995,0.68054,0.93979,2.14562,1.36187,0.00191486,0.00191486,0.00191486
45,381.046,0.63583,0.98598,1.06098,1,0.94467,0.995,0.68054,0.93979,2.14562,1.36187,0.00191288,0.00191288,0.00191288
46,389.83,0.62028,0.91435,0.96267,1,0.94467,0.995,0.68054,0.93979,2.14562,1.36187,0.0019109,0.0019109,0.0019109
47,399.242,0.52243,0.87401,0.94207,0.67705,0.66667,0.80643,0.65279,0.93309,2.03592,1.31883,0.00190892,0.00190892,0.00190892
48,408.47,0.78831,1.19743,1.1375,0.67705,0.66667,0.80643,0.65279,0.93309,2.03592,1.31883,0.00190694,0.00190694,0.00190694
49,417.296,0.61051,0.88574,0.94262,0.85215,0.66667,0.83,0.65227,0.91512,2.08048,1.28865,0.00190496,0.00190496,0.00190496
50,426.118,0.60721,0.94527,1.02989,0.85215,0.66667,0.83,0.65227,0.91512,2.08048,1.28865,0.00190298,0.00190298,0.00190298
51,435.69,0.62714,0.88438,0.97343,0.85215,0.66667,0.83,0.65227,0.91512,2.08048,1.28865,0.001901,0.001901,0.001901
52,444.886,0.73987,1.02897,1.09047,0.96892,0.66667,0.863,0.69105,0.77632,1.56772,1.06656,0.00189902,0.00189902,0.00189902
53,453.921,0.54672,0.96203,0.951,0.96892,0.66667,0.863,0.69105,0.77632,1.56772,1.06656,0.00189704,0.00189704,0.00189704
54,462.811,0.61995,0.8268,0.9438,0.96892,0.66667,0.863,0.69105,0.77632,1.56772,1.06656,0.00189506,0.00189506,0.00189506
55,472.115,0.7768,1.00034,0.99728,0.71343,1,0.9125,0.64794,1.02572,1.80779,1.15248,0.00189308,0.00189308,0.00189308
56,481.087,0.66752,0.84267,0.96231,0.71343,1,0.9125,0.64794,1.02572,1.80779,1.15248,0.0018911,0.0018911,0.0018911
57,490.233,0.81536,1.05455,1.13638,0.92104,0.66667,0.863,0.64502,0.91932,2.03382,1.04242,0.00188912,0.00188912,0.00188912
58,499.044,0.56348,0.87286,1.02214,0.92104,0.66667,0.863,0.64502,0.91932,2.03382,1.04242,0.00188714,0.00188714,0.00188714
59,507.553,0.58384,0.81389,0.96028,0.92104,0.66667,0.863,0.64502,0.91932,2.03382,1.04242,0.00188516,0.00188516,0.00188516
60,515.712,0.6362,0.82665,1.00582,0.9653,1,0.995,0.84037,0.68665,2.0664,0.9068,0.00188318,0.00188318,0.00188318
61,523.956,0.78882,0.87376,0.9573,0.9653,1,0.995,0.84037,0.68665,2.0664,0.9068,0.0018812,0.0018812,0.0018812
62,532.453,0.82753,0.99834,1.00287,0.9653,1,0.995,0.84037,0.68665,2.0664,0.9068,0.00187922,0.00187922,0.00187922
63,540.674,0.71409,0.91257,1.01558,0.95862,1,0.995,0.79644,0.5804,1.67726,0.77995,0.00187724,0.00187724,0.00187724
64,551.055,0.6516,0.8658,1.00455,0.95862,1,0.995,0.79644,0.5804,1.67726,0.77995,0.00187526,0.00187526,0.00187526
65,559.957,0.61348,0.81919,0.97968,0.98543,1,0.995,0.85154,0.5772,1.32092,0.79279,0.00187328,0.00187328,0.00187328
66,570.03,0.72082,0.84996,1.16362,0.98543,1,0.995,0.85154,0.5772,1.32092,0.79279,0.0018713,0.0018713,0.0018713
67,580.638,0.65856,0.81486,0.98954,0.98543,1,0.995,0.85154,0.5772,1.32092,0.79279,0.00186932,0.00186932,0.00186932
68,590.528,0.66122,0.82757,0.94606,0.91702,1,0.995,0.84636,0.71939,1.60883,1.26016,0.00186734,0.00186734,0.00186734
69,609.942,0.60248,0.85529,1.01375,0.91702,1,0.995,0.84636,0.71939,1.60883,1.26016,0.00186536,0.00186536,0.00186536
70,619.323,0.68967,0.93292,1.05505,0.91702,1,0.995,0.84636,0.71939,1.60883,1.26016,0.00186338,0.00186338,0.00186338
71,628.322,0.60051,0.79487,0.97467,0.993,1,0.995,0.79661,0.59197,1.69231,0.8255,0.0018614,0.0018614,0.0018614
72,636.436,0.54751,0.87374,0.98916,0.993,1,0.995,0.79661,0.59197,1.69231,0.8255,0.00185942,0.00185942,0.00185942
73,644.863,0.59585,0.72725,0.96695,0.94783,1,0.995,0.85154,0.55367,1.31085,0.756,0.00185744,0.00185744,0.00185744
74,652.961,0.55106,0.74496,0.95755,0.94783,1,0.995,0.85154,0.55367,1.31085,0.756,0.00185546,0.00185546,0.00185546
75,660.982,0.61639,0.73592,0.90506,0.94783,1,0.995,0.85154,0.55367,1.31085,0.756,0.00185348,0.00185348,0.00185348
76,668.931,0.58865,0.81893,1.00535,0.71407,1,0.9125,0.78882,0.6314,1.58582,0.88442,0.0018515,0.0018515,0.0018515
77,677.095,0.52529,0.69459,0.95648,0.71407,1,0.9125,0.78882,0.6314,1.58582,0.88442,0.00184952,0.00184952,0.00184952
78,686.665,0.6936,0.94658,1.07378,0.71407,1,0.9125,0.78882,0.6314,1.58582,0.88442,0.00184754,0.00184754,0.00184754
79,694.768,0.52949,0.74956,1.05603,0.9736,1,0.995,0.82957,0.65112,1.19856,0.96053,0.00184556,0.00184556,0.00184556
80,702.861,0.56749,0.69812,1.00747,0.9736,1,0.995,0.82957,0.65112,1.19856,0.96053,0.00184358,0.00184358,0.00184358
81,710.958,0.4695,0.6279,0.9566,0.96486,1,0.995,0.82954,0.74795,1.26859,0.98351,0.0018416,0.0018416,0.0018416
82,720.315,0.49324,0.63864,0.94735,0.96486,1,0.995,0.82954,0.74795,1.26859,0.98351,0.00183962,0.00183962,0.00183962
83,730.518,0.49978,0.70031,0.99933,0.96486,1,0.995,0.82954,0.74795,1.26859,0.98351,0.00183764,0.00183764,0.00183764
84,739.313,0.55852,0.68964,0.95328,0.91351,1,0.995,0.79657,0.8155,1.35686,0.86236,0.00183566,0.00183566,0.00183566
85,747.255,0.49295,0.62733,0.95688,0.91351,1,0.995,0.79657,0.8155,1.35686,0.86236,0.00183368,0.00183368,0.00183368
86,755.867,0.46586,0.59819,0.96009,0.91351,1,0.995,0.79657,0.8155,1.35686,0.86236,0.0018317,0.0018317,0.0018317
87,763.792,0.51059,0.65959,0.93383,0.70598,1,0.995,0.80479,0.6459,1.536,0.8061,0.00182972,0.00182972,0.00182972
88,771.551,0.42436,0.60629,0.89879,0.70598,1,0.995,0.80479,0.6459,1.536,0.8061,0.00182774,0.00182774,0.00182774
89,779.849,0.49135,0.70044,0.93717,0.74713,1,0.995,0.8955,0.56374,1.0855,0.79003,0.00182576,0.00182576,0.00182576
90,788.514,0.44996,0.61854,0.91993,0.74713,1,0.995,0.8955,0.56374,1.0855,0.79003,0.00182378,0.00182378,0.00182378
91,797.53,0.51868,0.67074,0.95122,0.74713,1,0.995,0.8955,0.56374,1.0855,0.79003,0.0018218,0.0018218,0.0018218
92,806.377,0.58475,0.78728,0.94994,0.97309,1,0.995,0.84037,0.5798,0.86755,0.77458,0.00181982,0.00181982,0.00181982
